item_id,domain,cultural_load,score_en,score_fr,score_ar,robustness_R,stability
hist_01,us_history,high,1,1,0,0.5286,instable
hist_03,us_history,high,1,1,0,0.5286,instable
hist_06,us_history,high,1,1,0,0.5286,instable
hist_07,us_history,high,1,1,0,0.5286,instable
hist_08,us_history,high,1,1,0,0.5286,instable
mora_02,moral_philosophy,high,1,1,0,0.5286,instable
mora_05,moral_philosophy,high,1,1,0,0.5286,instable
mora_10,moral_philosophy,high,1,1,0,0.5286,instable
math_01,mathematics,low,1,1,0,0.5286,instable
math_04,mathematics,low,0,1,1,0.5286,instable
math_05,mathematics,low,1,0,0,0.5286,instable
math_07,mathematics,low,1,1,0,0.5286,instable
hist_02,us_history,high,1,1,1,1.0,stable
hist_04,us_history,high,1,1,1,1.0,stable
hist_05,us_history,high,1,1,1,1.0,stable
hist_09,us_history,high,1,1,1,1.0,stable
hist_10,us_history,high,0,0,0,1.0,stable
mora_01,moral_philosophy,high,1,1,1,1.0,stable
mora_03,moral_philosophy,high,1,1,1,1.0,stable
mora_04,moral_philosophy,high,1,1,1,1.0,stable
mora_06,moral_philosophy,high,1,1,1,1.0,stable
mora_07,moral_philosophy,high,1,1,1,1.0,stable
mora_08,moral_philosophy,high,1,1,1,1.0,stable
mora_09,moral_philosophy,high,1,1,1,1.0,stable
math_02,mathematics,low,1,1,1,1.0,stable
math_03,mathematics,low,1,1,1,1.0,stable
math_06,mathematics,low,1,1,1,1.0,stable
math_08,mathematics,low,1,1,1,1.0,stable
math_09,mathematics,low,0,0,0,1.0,stable
math_10,mathematics,low,0,0,0,1.0,stable
