item_id,domain,cultural_load,response_en,correct_en,response_fr,correct_fr,response_ar,correct_ar,robustness_R,stability
hist_01,us_history,high,A,1,A,1,C,0,0.5286,instable
hist_02,us_history,high,B,1,B,1,B,1,1.0,stable
hist_03,us_history,high,B,1,B,1,A,0,0.5286,instable
hist_04,us_history,high,C,1,C,1,C,1,1.0,stable
hist_05,us_history,high,C,1,C,1,C,1,1.0,stable
hist_06,us_history,high,A,1,A,1,C,0,0.5286,instable
hist_07,us_history,high,B,1,B,1,A,0,0.5286,instable
hist_08,us_history,high,C,1,C,1,A,0,0.5286,instable
hist_09,us_history,high,B,1,B,1,B,1,1.0,stable
hist_10,us_history,high,A,0,A,0,A,0,1.0,stable
mora_01,moral_philosophy,high,B,1,B,1,B,1,1.0,stable
mora_02,moral_philosophy,high,B,1,B,1,C,0,0.5286,instable
mora_03,moral_philosophy,high,B,1,B,1,B,1,1.0,stable
mora_04,moral_philosophy,high,C,1,C,1,C,1,1.0,stable
mora_05,moral_philosophy,high,C,1,C,1,B,0,0.5286,instable
mora_06,moral_philosophy,high,B,1,B,1,B,1,1.0,stable
mora_07,moral_philosophy,high,B,1,B,1,B,1,1.0,stable
mora_08,moral_philosophy,high,C,1,C,1,C,1,1.0,stable
mora_09,moral_philosophy,high,B,1,B,1,B,1,1.0,stable
mora_10,moral_philosophy,high,C,1,C,1,B,0,0.5286,instable
math_01,mathematics,low,A,1,A,1,B,0,0.5286,instable
math_02,mathematics,low,C,1,C,1,C,1,1.0,stable
math_03,mathematics,low,B,1,B,1,B,1,1.0,stable
math_04,mathematics,low,A,0,C,1,C,1,0.5286,instable
math_05,mathematics,low,B,1,A,0,A,0,0.5286,instable
math_06,mathematics,low,C,1,C,1,C,1,1.0,stable
math_07,mathematics,low,C,1,C,1,A,0,0.5286,instable
math_08,mathematics,low,C,1,C,1,C,1,1.0,stable
math_09,mathematics,low,C,0,C,0,C,0,1.0,stable
math_10,mathematics,low,B,0,B,0,B,0,1.0,stable
